,size,runtime_degree,runtime_minfill,runtime_random
0,5,0.0030074119567871094,0.014001846313476562,0.03599905967712402
1,5,0.01599884033203125,0.03199887275695801,0.054000139236450195
2,5,0.002997875213623047,0.02100372314453125,0.04699897766113281
3,5,0.014000892639160156,0.026996850967407227,0.04300284385681152
4,5,0.01599907875061035,0.025997400283813477,0.06000113487243652
5,5,0.012999534606933594,0.023000717163085938,0.052999019622802734
6,5,0.013999223709106445,0.02300119400024414,0.042998313903808594
7,5,0.003000497817993164,0.017999887466430664,0.047998905181884766
8,5,0.013000011444091797,0.01799917221069336,0.03499937057495117
9,5,0.02200031280517578,0.03699994087219238,0.05199837684631348
10,5,0.0260007381439209,0.043997764587402344,0.06000328063964844
11,5,0.018000125885009766,0.039999961853027344,0.0579988956451416
12,5,0.0019998550415039062,0.015002012252807617,0.029999256134033203
13,5,0.02599954605102539,0.04899883270263672,0.07099795341491699
14,5,0.037000179290771484,0.04999971389770508,0.06599974632263184
15,5,0.021999120712280273,0.027999401092529297,0.03499770164489746
16,5,0.023999691009521484,0.04800057411193848,0.06199812889099121
17,5,0.017999887466430664,0.03300023078918457,0.05099940299987793
18,5,0.020999908447265625,0.03300023078918457,0.04799962043762207
19,5,0.01600050926208496,0.024000167846679688,0.03999900817871094
20,5,0.016000032424926758,0.02700042724609375,0.05299973487854004
21,5,0.007999658584594727,0.017998218536376953,0.03883218765258789
22,5,0.0020012855529785156,0.01399993896484375,0.030999183654785156
23,5,0.009999990463256836,0.026000499725341797,0.035997867584228516
24,5,0.013000011444091797,0.019999980926513672,0.05099964141845703
25,5,0.0020012855529785156,0.017998456954956055,0.03499937057495117
26,5,0.013998985290527344,0.02900099754333496,0.054997920989990234
27,5,0.008999347686767578,0.026000022888183594,0.0429997444152832
28,5,0.018999338150024414,0.03200078010559082,0.0599977970123291
29,5,0.0020003318786621094,0.014999866485595703,0.03299760818481445
30,5,0.023999452590942383,0.03299999237060547,0.0689992904663086
31,5,0.002000093460083008,0.013000011444091797,0.024998903274536133
32,5,0.02299952507019043,0.03600049018859863,0.04999828338623047
33,5,0.014002561569213867,0.025001049041748047,0.048998355865478516
34,5,0.018999576568603516,0.03000020980834961,0.041998863220214844
35,5,0.022999048233032227,0.033000946044921875,0.04199814796447754
36,5,0.021000385284423828,0.03300070762634277,0.04799795150756836
37,5,0.008997440338134766,0.03900003433227539,0.047995805740356445
38,5,0.014000654220581055,0.026000261306762695,0.035997629165649414
39,5,0.03800058364868164,0.0379946231842041,0.06599783897399902
40,5,0.02700018882751465,0.03900003433227539,0.047998666763305664
41,5,0.020000934600830078,0.026000261306762695,0.04999947547912598
42,5,0.020000219345092773,0.028000831604003906,0.03599810600280762
43,5,0.002999544143676758,0.014000415802001953,0.02899932861328125
44,5,0.014006376266479492,0.020999908447265625,0.03399825096130371
