,size,runtime_degree,runtime_random,runtime_minfill
6,25,0.06199240684509277,0.10500264167785645,0.2980022430419922
7,25,0.06499981880187988,0.10600090026855469,0.28599977493286133
8,25,0.07899975776672363,0.15700030326843262,0.3269991874694824
9,25,0.043999671936035156,0.09399914741516113,0.14500093460083008
10,25,0.06100010871887207,0.08100104331970215,0.1399998664855957
11,25,0.20700383186340332,0.3399989604949951,0.3670005798339844
12,25,0.031000137329101562,0.042999267578125,0.0778505802154541
13,25,0.10600018501281738,0.16099882125854492,0.3501436710357666
14,25,0.08499884605407715,0.1080019474029541,0.10599875450134277
15,25,1.3532109260559082,60.18358826637268,177.58171677589417
16,25,0.46885013580322266,1.1193218231201172,0.6654551029205322
17,25,0.06429290771484375,0.10103631019592285,0.1670217514038086
18,25,0.07090616226196289,0.09465980529785156,0.18821406364440918
19,25,0.1389327049255371,0.19938898086547852,0.2709214687347412
20,25,0.08040261268615723,0.15267348289489746,0.3361630439758301
21,25,0.043373823165893555,0.08502602577209473,0.3109893798828125
22,25,0.021107196807861328,0.04320240020751953,0.12536048889160156
23,25,0.09244728088378906,0.2642045021057129,0.6287479400634766
24,25,0.07820391654968262,0.10999917984008789,0.23752522468566895
25,25,0.02918243408203125,0.05332636833190918,0.15579795837402344
26,25,0.03115701675415039,0.04925370216369629,0.0884101390838623
27,25,1.55828857421875,6.68616795539856,24.592244148254395
28,25,0.047452688217163086,0.07604861259460449,0.17488598823547363
29,25,0.0523066520690918,0.09606146812438965,0.16960811614990234
30,25,0.051222801208496094,0.07832527160644531,0.23021721839904785
31,25,0.07647871971130371,0.178236722946167,0.3774700164794922
32,25,0.10248899459838867,0.1338050365447998,0.3099682331085205
33,25,0.10462188720703125,0.12270784378051758,0.18044328689575195
34,25,0.05035400390625,0.0958397388458252,0.15586018562316895
35,25,0.07437896728515625,0.15941166877746582,0.3330991268157959
36,25,0.034224510192871094,0.04024243354797363,0.11967968940734863
37,25,0.040189504623413086,0.0613250732421875,0.11518216133117676
38,25,0.08417463302612305,0.25028300285339355,0.46015453338623047
39,25,0.2114105224609375,1.051321029663086,8.706634998321533
40,25,0.04035830497741699,0.06896352767944336,0.16543245315551758
41,25,0.06227588653564453,0.0918121337890625,0.1672978401184082
42,25,0.027127742767333984,0.04833173751831055,0.14499568939208984
43,25,0.08870744705200195,0.16552400588989258,0.38496875762939453
44,25,0.07054686546325684,0.1157829761505127,0.23795127868652344
45,25,0.030206918716430664,0.05164337158203125,0.11407876014709473
46,25,0.03820514678955078,0.08159708976745605,0.18144655227661133
47,25,0.03864717483520508,0.10046887397766113,0.15055632591247559
48,25,0.03672480583190918,0.07146716117858887,0.1121213436126709
49,25,0.07165718078613281,0.12620806694030762,0.22129559516906738
50,25,0.05225968360900879,0.17991924285888672,0.3385486602783203
51,25,0.18883180618286133,4.679264545440674,25.000207901000977
52,25,0.08520007133483887,0.1196744441986084,0.1971452236175537
53,25,0.08553743362426758,0.18105411529541016,0.372356653213501
54,25,0.21743011474609375,0.3521287441253662,0.28445887565612793
55,25,0.06751585006713867,0.11168885231018066,0.38044166564941406
56,25,0.10510778427124023,0.14606118202209473,0.1738882064819336
57,25,0.060987234115600586,0.0840139389038086,0.21819829940795898
58,25,0.024130582809448242,0.034371376037597656,0.10089898109436035
59,25,0.0639655590057373,0.10976576805114746,0.5330829620361328
60,25,0.0688481330871582,0.13681459426879883,0.31152844429016113
61,25,0.07561755180358887,0.1933269500732422,0.29427552223205566
62,25,0.06342625617980957,0.0836949348449707,0.1723766326904297
63,25,0.7636563777923584,4.267001152038574,8.779034614562988
64,25,0.08543276786804199,0.19278836250305176,0.29233288764953613
65,25,0.06463241577148438,0.12235736846923828,0.5442101955413818
66,25,0.033151865005493164,0.04922032356262207,0.11423492431640625
67,25,0.06584739685058594,0.09633803367614746,0.16792654991149902
68,25,0.0462496280670166,0.08656167984008789,0.22568011283874512
69,25,0.05271649360656738,0.12372612953186035,0.21561193466186523
70,25,0.0515294075012207,0.08759474754333496,0.15507245063781738
71,25,0.030128002166748047,0.05381131172180176,0.13716554641723633
72,25,0.12983202934265137,0.16010236740112305,0.22043180465698242
73,25,0.0518949031829834,0.1179664134979248,0.2246544361114502
74,25,0.054472923278808594,0.09481501579284668,0.15713286399841309
75,25,0.3949713706970215,4.7091639041900635,15.623295068740845
76,25,0.06544899940490723,0.08890724182128906,0.3309321403503418
77,25,0.06749749183654785,0.12975072860717773,0.29700446128845215
78,25,0.0896151065826416,0.1289827823638916,0.3257632255554199
79,25,0.0755167007446289,0.19060635566711426,0.42635488510131836
80,25,0.027513980865478516,0.053311824798583984,0.13806605339050293
81,25,0.04022693634033203,0.06238079071044922,0.13164401054382324
82,25,0.05028700828552246,0.13275647163391113,0.22323966026306152
83,25,0.04224896430969238,0.07457232475280762,0.24307799339294434
84,25,0.056780099868774414,0.06863927841186523,0.21215081214904785
85,25,0.08545422554016113,0.19902825355529785,0.2715766429901123
86,25,0.3719038963317871,0.4195244312286377,0.5648868083953857
87,25,25.276440382003784,66.08683466911316,239.46325612068176
88,25,0.06144428253173828,0.07563567161560059,0.2044379711151123
89,25,0.02022719383239746,0.025272846221923828,0.07852458953857422
90,25,0.06659460067749023,0.11303067207336426,0.18794488906860352
91,25,0.09995245933532715,0.11375737190246582,0.16527247428894043
92,25,0.050211429595947266,0.08063650131225586,0.15990614891052246
93,25,0.06323361396789551,0.10377335548400879,0.1496107578277588
94,25,0.11290359497070312,0.15563654899597168,0.15870261192321777
95,25,0.03417038917541504,0.06227421760559082,0.11263155937194824
96,25,0.04915022850036621,0.07140207290649414,0.15383458137512207
97,25,0.060477495193481445,0.12096309661865234,0.3312199115753174
98,25,0.09767532348632812,0.1290900707244873,0.22548985481262207
99,25,1.2854499816894531,16.75296926498413,17.653759479522705
